drug,disease
[14262],37784
[14262],28158
[14262],83770
[15438],37784
[15438],28158
[15438],83770
[14772],37784
[14772],28158
[14772],83770
[15500],37784
[15500],28158
[15500],83770
[15982],37784
[15982],28158
[15982],83770
[14024],37784
[14024],28158
[14024],83770
[14034],37784
[14034],28158
[14034],83770
[14764],37784
[14764],28158
[14764],83770
[14030],37784
[14030],28158
[14030],83770
[14028],37784
[14028],28158
[14028],83770
[15003],37784
[15003],28158
[15003],83770
[14042],37784
[14042],28158
[14042],83770
[14320],37784
[14320],28158
[14320],83770
[14273],37784
[14273],28158
[14273],83770
[14980],37784
[14980],28158
[14980],83770
[15887],37784
[15887],28158
[15887],83770
[14019],37784
[14019],28158
[14019],83770
[17584],37784
[17584],28158
[17584],83770
[17417],37784
[17417],28158
[17417],83770
[17585],37784
[17585],28158
[17585],83770
[14023],37784
[14023],28158
[14023],83770
[14269],38513
[14269],35510
[14024],38513
[14024],35510
[14030],38513
[14030],35510
[14028],38513
[14028],35510
[15003],38513
[15003],35510
[14042],38513
[14042],35510
[14320],38513
[14320],35510
[14019],38513
[14019],35510
[14023],38513
[14023],35510
[14269],38016
[18314],38016
[14024],38016
[14030],38016
[14028],38016
[15003],38016
[14042],38016
[14320],38016
[14273],38016
[14019],38016
[20423],38016
[14023],38016
[15450],83771
[15307],83771
[17243],39540
[17243],39111
[17243],83772
[17243],83773
[17243],29854
[14269],39540
[14269],39111
[14269],83772
[14269],83773
[14269],29854
[15098],39540
[15098],39111
[15098],83772
[15098],83773
[15098],29854
[14024],39540
[14024],39111
[14024],83772
[14024],83773
[14024],29854
[14030],39540
[14030],39111
[14030],83772
[14030],83773
[14030],29854
[14028],39540
[14028],39111
[14028],83772
[14028],83773
[14028],29854
[15003],39540
[15003],39111
[15003],83772
[15003],83773
[15003],29854
[14042],39540
[14042],39111
[14042],83772
[14042],83773
[14042],29854
[14320],39540
[14320],39111
[14320],83772
[14320],83773
[14320],29854
[14019],39540
[14019],39111
[14019],83772
[14019],83773
[14019],29854
[17235],39540
[17235],39111
[17235],83772
[17235],83773
[17235],29854
[14023],39540
[14023],39111
[14023],83772
[14023],83773
[14023],29854
[14269],36272
[14158],36272
[14030],36272
[14028],36272
[15003],36272
[14042],36272
[14320],36272
[14227],36272
[14204],36272
[14019],36272
[14238],36272
[14340],36272
[14061],36272
[14023],36272
[20442],36048
[15767],36048
[16060],36048
[16062],36048
[14843],36048
[20172],36048
[16071],36048
[14785],36048
[20403],36048
[20218],36048
[16059],36048
[20443],36048
[16221],36048
[14703],36048
[20129],36048
[16977],36048
[20146],36048
[16063],36048
[19331],36048
[16313],36048
[20214],36048
[16311],36048
[16074],36048
[20444],36048
[20375],36048
[15839],36048
[20445],36048
[20424],36048
[15549],36048
[20376],36048
[16055],36048
[15462],36048
[15144],36048
[14734],36048
[14786],36048
[15420],36048
[16057],36048
[14269],36347
[14269],36436
[14262],36347
[14262],36436
[14158],36347
[14158],36436
[14030],36347
[14030],36436
[14028],36347
[14028],36436
[15003],36347
[15003],36436
[14042],36347
[14042],36436
[14019],36347
[14019],36436
[14340],36347
[14340],36436
[14023],36347
[14023],36436
[14269],39524
[18230],39524
[15324],39524
[15438],39524
[15349],39524
[15982],39524
[14194],39524
[14024],39524
[14764],39524
[14030],39524
[14028],39524
[15003],39524
[14042],39524
[14320],39524
[17601],39524
[15887],39524
[14019],39524
[14274],39524
[17584],39524
[17583],39524
[17585],39524
[14023],39524
[15860],39524
[16802],39524
[14269],36604
[14269],38719
[14269],83774
[14024],36604
[14024],38719
[14024],83774
[14030],36604
[14030],38719
[14030],83774
[14028],36604
[14028],38719
[14028],83774
[15003],36604
[15003],38719
[15003],83774
[14042],36604
[14042],38719
[14042],83774
[14320],36604
[14320],38719
[14320],83774
[14019],36604
[14019],38719
[14019],83774
[15067],36604
[15067],38719
[15067],83774
[14023],36604
[14023],38719
[14023],83774
[14269],83775
[20339],83775
[14030],83775
[14028],83775
[15003],83775
[14042],83775
[14320],83775
[14019],83775
[14023],83775
[20330],36026
[15239],36026
[15483],36026
[17436],36026
[20448],36026
[14290],36026
[16847],36026
[15079],36026
[15849],36026
[15466],36026
[17173],36026
[16217],36026
[16792],36026
[16843],36026
[15105],36026
[14807],36026
[15155],36026
[14198],36026
[15225],36026
[14792],36026
[15095],36026
[15156],36026
[14677],36026
[17434],36026
[14978],36026
[15491],36026
[17435],36026
[17317],36026
[15779],36026
[16795],36026
[15794],29078
[14269],29078
[15324],29078
[14242],29078
[14262],29078
[15816],29078
[15438],29078
[20449],29078
[15987],29078
[14509],29078
[15982],29078
[14934],29078
[14194],29078
[20450],29078
[17831],29078
[15986],29078
[14206],29078
[14158],29078
[14024],29078
[20239],29078
[20451],29078
[14419],29078
[14219],29078
[15781],29078
[14030],29078
[14028],29078
[15003],29078
[14042],29078
[14320],29078
[14407],29078
[17601],29078
[14273],29078
[14175],29078
[15887],29078
[14227],29078
[14204],29078
[14019],29078
[15563],29078
[14191],29078
[14274],29078
[17883],29078
[17584],29078
[15989],29078
[14197],29078
[14183],29078
[14062],29078
[14238],29078
[16758],29078
[14278],29078
[15984],29078
[14340],29078
[17583],29078
[15447],29078
[16226],29078
[17585],29078
[15101],29078
[14600],29078
[14287],29078
[14061],29078
[17398],29078
[14390],29078
[15269],29078
[14023],29078
[20452],29078
[15860],29078
[16802],29078
[20453],29078
[15662],29078
[15666],29078
[14347],29078
[15914],29078
[18755],28158
[14269],35823
[14269],35665
[14030],35823
[14030],35665
[14028],35823
[14028],35665
[15003],35823
[15003],35665
[14042],35823
[14042],35665
[14320],35823
[14320],35665
[14019],35823
[14019],35665
[14023],35823
[14023],35665
[20377],36129
[20377],29709
[15791],36129
[15791],29709
[15064],36129
[15064],29709
[17229],36129
[17229],29709
[20431],36129
[20431],29709
[14269],36129
[14269],29709
[14020],36129
[14020],29709
[15486],36129
[15486],29709
[14193],36129
[14193],29709
[14021],36129
[14021],29709
[15500],36129
[15500],29709
[16837],36129
[16837],29709
[15586],36129
[15586],29709
[14024],36129
[14024],29709
[20437],36129
[20437],29709
[14941],36129
[14941],29709
[14030],36129
[14030],29709
[14028],36129
[14028],29709
[15003],36129
[15003],29709
[14042],36129
[14042],29709
[14320],36129
[14320],29709
[17776],36129
[17776],29709
[14019],36129
[14019],29709
[14033],36129
[14033],29709
[15583],36129
[15583],29709
