hypergraph_idx,kg_idx,node_name
808,20420,Calcium glycerophosphate
809,20421,Fosfomycin
810,20422,Meclocycline
811,20423,Aminobenzoic acid
812,20424,Magnesium trisilicate
813,20425,Chromium picolinate
814,20427,Cholestyramine
815,20428,Capreomycin
816,20429,Colistin
817,20431,Diiodohydroxyquinoline
818,20432,Nandrolone
819,20433,Anidulafungin
820,20434,Altretamine
821,20436,Dexpanthenol
822,20437,Ammonium lactate
823,20438,Ferric oxide
824,20439,Idoxuridine
825,20440,Neridronic Acid
826,20441,Brodalumab
827,20442,Rebamipide
828,20443,Poldine
829,20444,Penthienate
830,20445,Ilaprazole
831,20446,Hematin
832,20447,Docusate
833,20448,Aceclidine
834,20449,Flunoxaprofen
835,20450,Proglumetacin
836,20451,Benoxaprofen
837,20452,Iguratimod
838,20453,Tenidap
839,20454,Mupirocin
840,20455,Clopenthixol
841,20456,Daptomycin
842,20457,Ozagrel
843,20458,Pemirolast
844,20459,Reproterol
845,20462,Acetoxolone
846,20463,Mebhydrolin
847,20464,Isoflupredone acetate
848,20465,Quifenadine
849,20466,Lucinactant
850,20467,Colfosceril palmitate
851,20468,Cetyl alcohol
852,20469,Calfactant
853,20470,Poractant alfa
854,20471,Beractant
855,20472,Lactulose
856,20473,Uracil mustard
857,20474,Talimogene laherparepvec
858,20475,Beclabuvir
859,20476,Vaniprevir
860,20477,Clevudine
861,20478,Entecavir
862,20479,Mandelic acid
863,20480,Ceftolozane
864,20481,Cefapirin
865,20482,Furazidin
866,20483,Alatrofloxacin
867,20484,Nifurtoinol
868,20485,Cefprozil
869,20486,Rasburicase
870,20487,Isoxsuprine
871,20488,Pegloticase
872,20489,Cinchophen
873,20490,Tiocarlide
874,20491,Enviomycin
875,20492,Amithiozone
876,20494,Motretinide
877,20495,Ozenoxacin
878,20496,Nadifloxacin
879,20497,Nicotinyl alcohol
880,20498,Cetylpyridinium
881,20499,Nitrogen
882,20500,Succinimide
883,20501,Icosapent ethyl
884,20502,Colesevelam
885,20503,Calcium carbonate
886,20504,Calcium lactate gluconate
887,20505,Oxetorone
888,20506,Colestilan chloride
889,20507,Mefenorex
890,20508,Fenproporex
891,20509,Belotecan
892,20510,Acipimox
893,20511,Givosiran
894,20513,Gemigliptin
895,20514,Tofogliflozin
896,20515,Luseogliflozin
897,20516,Trelagliptin
898,20517,Ipragliflozin
899,20518,Teneligliptin
900,20519,Anagliptin
901,20520,Omarigliptin
902,20521,Evogliptin
903,20522,Omidenepag isopropyl
904,20523,Pramiracetam
905,20524,Chloroxine
906,20525,Selenium Sulfide
907,20526,Climbazole
908,20527,Piperonyl butoxide
909,20528,Crotamiton
910,20529,Acetarsol
911,20530,Quinfamide
912,20531,Diloxanide furoate
913,20532,Sotagliflozin
914,20533,Distigmine
915,20534,Gepirone
916,20535,Clortermine
917,20536,Raxibacumab
918,20537,Obiltoxaximab
919,20538,Radium Ra 223 dichloride
920,20539,Iron sucrose
921,20540,Pyronaridine
922,20541,Plicamycin
923,20542,Sodium phosphate P 32
924,20543,Azapetine
925,20544,Dehydrocholic acid
926,20545,Sorbitol
927,20546,Oxyphenisatin
928,20547,Oxyphenisatin acetate
929,20548,Ipriflavone
930,20549,Strontium ranelate
931,20550,Indanazoline
932,20551,Metizoline
933,20552,Oteracil
934,20553,Bifemelane
935,20554,Naftidrofuryl
936,20555,Lodoxamide
937,20556,Dornase alfa
938,20557,Alipogene tiparvovec
939,20558,Omoconazole
940,20559,Bamipine
941,20560,Mosapramine
942,20561,Oxypertine
943,20562,Tavaborole
944,20563,Efinaconazole
945,20564,Reviparin
946,20565,Elosulfase alfa
947,20566,Polysorbate 80
948,20567,Propylene glycol
949,20568,Polidocanol
950,20569,Moxidectin
951,20570,Sevelamer
952,20571,Imrecoxib
953,20572,Oxaceprol
954,20573,Polmacoxib
955,20574,Butylphthalide
956,20575,Ipidacrine
957,20576,Taliglucerase alfa
958,20577,Alglucerase
959,20578,Tandospirone
960,20579,Eteplirsen
961,20580,Bezlotoxumab
962,20581,Spectinomycin
963,20582,Evocalcet
964,20583,Xylitol
965,20584,Stannous fluoride
966,20585,Mebeverine
967,20586,Dinutuximab
968,20587,Fenticonazole
969,20588,Terconazole
970,20589,Menatetrenone
971,20590,Anecortave acetate
972,20591,Melevodopa
973,20592,Sacrosidase
974,20593,Dalbavancin
975,20594,Faropenem medoxomil
976,20595,Faropenem
977,20596,Bunazosin
978,20597,Tivozanib
979,20598,Ibopamine
980,20599,Chlormezanone
981,20600,Oxaflozane
982,20601,Mebicar
983,20602,Hemin
984,20603,Amenamevir
985,20604,Imiglucerase
986,20605,Pemoline
987,20606,Secnidazole
988,20607,Idebenone
989,20608,Epalrestat
990,20609,Racecadotril
991,20610,Tetramethrin
992,20611,Spinosad
993,20612,Phenylmercuric nitrate
994,20613,Azosemide
995,20614,Padeliporfin
996,20616,Melarsoprol
997,20617,Carmofur
998,20618,Teicoplanin
999,20619,Trepibutone
1000,20620,Docosanol
1001,20621,Penciclovir
1002,20622,Talaporfin
1003,20623,Lactitol
1004,20625,Phenothrin
