hypergraph_idx,kg_idx,node_name
1005,20626,Maxacalcitol
1006,20627,Stibophen
1007,20628,Pancrelipase
1008,20629,Levomethadone
1009,20630,Drostanolone propionate
1010,20631,Burosumab
1011,20632,Formaldehyde
1012,20633,Moroxydine
1013,20634,Peramivir
1014,20635,Laninamivir octanoate
1015,20636,Tenonitrozole
1016,20637,Hachimycin
1017,20638,Uridine triacetate
1018,20639,Hexamidine
1019,20640,Sulbentine
1020,20641,Urapidil
1021,20642,Luspatercept
1022,20643,Temoporfin
1023,20644,Monoxerutin
1024,20645,Benznidazole
1025,20646,Eftrenonacog alfa
1026,20647,Laronidase
1027,20648,Benperidol
1028,20649,Vestronidase alfa
1029,20650,Prussian blue
1030,20651,Sebelipase alfa
1031,20652,Sivelestat
1032,20653,Nusinersen
1033,20662,Taxifolin
1034,20667,Sugammadex
1035,20670,Ceftaroline fosamil
1036,20673,Ferulic acid
1037,20677,Indoprofen
1038,20684,Benzydamine
1039,20685,Clonixin
1040,20710,Triptolide
1041,20714,Indobufen
1042,20719,Troxerutin
1043,20724,Trenonacog alfa
1044,20738,Linsidomine
1045,20751,Cyclopenthiazide
1046,20754,Ethenzamide
1047,20757,Melagatran
1048,20774,NS-398
1049,20784,Formononetin
1050,20787,Gadoteridol
1051,20789,Iodixanol
1052,20796,Pyrithione
1053,20798,Canrenoic acid
1054,20799,Hydroxyethyl Starch
1055,20801,Gadoteric acid
1056,20803,Ioversol
1057,20806,Iopromide
1058,20809,Piracetam
1059,20824,Vaborbactam
1060,20829,Cicletanine
1061,20830,Lafutidine
1062,20832,Nedaplatin
1063,20851,Adefovir
1064,20855,Salvianolic acid A
1065,20858,Castanospermine
1066,20864,GI-5005
1067,20866,Tucidinostat
1068,20867,Vitespen
1069,20871,Antilymphocyte immunoglobulin (horse)
1070,20904,Sirukumab
1071,20905,Entinostat
1072,20906,CUDC-907
